type,group,id,name,dnaScore,grade,effectiveGrade,flashMode,metricTension,livingScore,pinFlashScore,simFlashScore,angleSpreadScore,detail,mRange,rRange,ccRange,darkGlossPct,darkVoidPct,firstRepair,topWeakness
base,Bases,shokk_polarity,Shokk Polarity,44,D,Hard Rework,mixed,true,41,4,28,92,43,77,56,41,100,0,widen-spec-channel-spectrum,Living score is 41; the finish is not changing enough across light angles.
base,Bases,shokk_prism,Shokk Prism,30,D,Hard Rework,mixed,true,32,4,15,93,13,41,36,37,100,0,widen-spec-channel-spectrum,Living score is 32; the finish is not changing enough across light angles.
base,Bases,shokk_pulse,Shokk Pulse,31,D,Hard Rework,heroBand,true,31,4,28,92,12,40,30,33,0,0,widen-spec-channel-spectrum,Living score is 31; the finish is not changing enough across light angles.
base,Bases,shokk_reactor,Shokk Reactor,33,D,Hard Rework,mixed,true,33,5,28,92,13,50,37,44,0,0,widen-spec-channel-spectrum,Living score is 33; the finish is not changing enough across light angles.
base,Bases,shokk_rift,Shokk Rift,38,D,Hard Rework,mixed,true,37,5,28,93,25,69,49,43,100,0,widen-spec-channel-spectrum,Living score is 37; the finish is not changing enough across light angles.
base,Bases,shokk_spectrum,Shokk Spectrum,30,D,Hard Rework,mixed,true,32,4,15,92,15,30,28,33,100,0,widen-spec-channel-spectrum,Living score is 32; the finish is not changing enough across light angles.
base,Bases,shokk_static,Shokk Static,39,D,Hard Rework,mixed,true,41,4,15,76,45,80,57,41,0,0,widen-spec-channel-spectrum,Living score is 41; the finish is not changing enough across light angles.
base,Bases,shokk_surge,Shokk Surge,37,D,Hard Rework,mixed,true,35,4,28,93,23,51,37,43,100,0,widen-spec-channel-spectrum,Living score is 35; the finish is not changing enough across light angles.
base,Bases,shokk_tesseract_v2,Shokk Tesseract V2,32,D,Hard Rework,mixed,true,34,5,15,92,15,63,47,44,0,0,widen-spec-channel-spectrum,Living score is 34; the finish is not changing enough across light angles.
base,Bases,shokk_venom,Shokk Venom,31,D,Hard Rework,mixed,true,32,5,15,91,13,82,54,36,0,0,widen-spec-channel-spectrum,Living score is 32; the finish is not changing enough across light angles.
base,Bases,shokk_void,Shokk Void,36,D,Hard Rework,mixed,false,20,44,13,64,21,164,59,44,100,0,widen-spec-channel-spectrum,Living score is 20; the finish is not changing enough across light angles.
base,Bases,shokk_vortex,Shokk Vortex,31,D,Hard Rework,mixed,true,33,4,15,92,15,55,39,36,100,0,widen-spec-channel-spectrum,Living score is 33; the finish is not changing enough across light angles.
base,Bases,shokk_wraith,Shokk Wraith,37,D,Hard Rework,mixed,true,22,34,27,62,22,153,58,44,100,0,widen-spec-channel-spectrum,Living score is 22; the finish is not changing enough across light angles.
base,Bases,showroom_clear,Showroom Clear,30,D,Hard Rework,mixed,true,7,4,76,93,1,12,10,20,0,0,widen-spec-channel-spectrum,Living score is 7; the finish is not changing enough across light angles.
base,Bases,silk,Silk,25,D,Hard Rework,mixed,true,5,4,61,91,0,0,0,0,0,0,widen-spec-channel-spectrum,Living score is 5; the finish is not changing enough across light angles.
base,Bases,singularity,Singularity,37,D,Hard Rework,mixed,true,16,27,54,91,8,80,65,52,100,0,widen-spec-channel-spectrum,Living score is 16; the finish is not changing enough across light angles.
base,Bases,smoked,Smoked,31,D,Hard Rework,mixed,true,8,4,73,93,1,24,35,28,100,0,widen-spec-channel-spectrum,Living score is 8; the finish is not changing enough across light angles.
base,Bases,solar_panel,Solar Panel,23,D,Hard Rework,mixed,true,11,4,18,93,5,115,17,13,100,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
base,Bases,spectraflame,Spectraflame,30,D,Hard Rework,heroBand,true,24,5,19,92,10,187,32,25,0,0,widen-spec-channel-spectrum,Living score is 24; the finish is not changing enough across light angles.
base,Bases,stealth_wrap,Stealth Wrap,31,D,Hard Rework,mixed,true,14,25,26,91,10,92,45,24,100,0,widen-spec-channel-spectrum,Living score is 14; the finish is not changing enough across light angles.
base,Bases,stock_car_enamel,Stock Car Enamel,33,D,Hard Rework,mixed,true,11,4,75,93,4,76,21,30,0,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
base,Bases,stone_granite_speckled,Stone Granite Speckled,45,D,Hard Rework,pinfield,false,23,36,62,77,17,142,86,45,0,0,widen-spec-channel-spectrum,Living score is 23; the finish is not changing enough across light angles.
base,Bases,stone_marble_polished,Stone Marble Polished,35,D,Hard Rework,mixed,true,10,34,63,92,2,42,56,24,0,0,widen-spec-channel-spectrum,Living score is 10; the finish is not changing enough across light angles.
base,Bases,stone_obsidian_mirror,Stone Obsidian Mirror,27,D,Hard Rework,mixed,true,30,4,14,93,7,55,24,12,100,0,widen-spec-channel-spectrum,Living score is 30; the finish is not changing enough across light angles.
base,Bases,stone_sandstone_warm,Stone Sandstone Warm,36,D,Hard Rework,mixed,true,10,24,70,91,7,13,38,41,0,0,widen-spec-channel-spectrum,Living score is 10; the finish is not changing enough across light angles.
base,Bases,stone_slate_matte,Stone Slate Matte,28,D,Hard Rework,mixed,true,11,24,28,91,6,30,48,29,100,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
base,Bases,stone_travertine_cream,Stone Travertine Cream,25,D,Hard Rework,mixed,true,12,24,18,91,1,8,88,82,0,0,widen-spec-channel-spectrum,Living score is 12; the finish is not changing enough across light angles.
base,Bases,sub_black,Sub Black,22,D,Hard Rework,mixed,true,5,4,47,93,0,0,3,0,100,0,widen-spec-channel-spectrum,Living score is 5; the finish is not changing enough across light angles.
base,Bases,submarine_black,Submarine Black,30,D,Hard Rework,mixed,true,12,27,43,67,6,98,35,26,100,0,widen-spec-channel-spectrum,Living score is 12; the finish is not changing enough across light angles.
base,Bases,sun_baked,Sun Baked,35,D,Hard Rework,mixed,true,16,25,26,77,23,52,59,60,0,0,widen-spec-channel-spectrum,Living score is 16; the finish is not changing enough across light angles.
base,Bases,sun_fade,Sun Fade,34,D,Hard Rework,mixed,true,17,25,13,91,23,50,71,60,0,0,widen-spec-channel-spectrum,Living score is 17; the finish is not changing enough across light angles.
base,Bases,superconductor,Superconductor,29,D,Hard Rework,mixed,true,30,4,28,95,5,64,12,17,100,0,widen-spec-channel-spectrum,Living score is 30; the finish is not changing enough across light angles.
base,Bases,surgical_steel,Surgical Steel,34,D,Hard Rework,mixed,true,23,20,29,92,11,105,37,82,0,0,widen-spec-channel-spectrum,Living score is 23; the finish is not changing enough across light angles.
base,Bases,taxi_yellow,Taxi Yellow,30,D,Hard Rework,mixed,true,7,4,76,91,0,8,48,10,0,0,widen-spec-channel-spectrum,Living score is 7; the finish is not changing enough across light angles.
base,Bases,tempered_glass,Tempered Glass,33,D,Hard Rework,mixed,true,10,4,76,92,5,86,4,13,0,0,widen-spec-channel-spectrum,Living score is 10; the finish is not changing enough across light angles.
base,Bases,terrain_chrome,Terrain Chrome,22,D,Hard Rework,mixed,true,26,4,15,94,0,13,12,2,0,0,widen-spec-channel-spectrum,Living score is 26; the finish is not changing enough across light angles.
base,Bases,textile_burlap_coarse,Textile Burlap Coarse,35,D,Hard Rework,mixed,true,12,26,69,76,6,14,47,45,0,0,widen-spec-channel-spectrum,Living score is 12; the finish is not changing enough across light angles.
base,Bases,textile_canvas_rough,Textile Canvas Rough,37,D,Hard Rework,mixed,true,11,24,69,91,10,9,45,45,0,0,widen-spec-channel-spectrum,Living score is 11; the finish is not changing enough across light angles.
base,Bases,textile_denim_weave,Textile Denim Weave,36,D,Hard Rework,mixed,true,12,24,68,77,11,8,50,48,100,0,widen-spec-channel-spectrum,Living score is 12; the finish is not changing enough across light angles.
base,Bases,textile_silk_sheen,Textile Silk Sheen,41,D,Hard Rework,mixed,true,14,4,77,91,24,38,42,28,0,0,widen-spec-channel-spectrum,Living score is 14; the finish is not changing enough across light angles.
base,Bases,textile_suede_soft,Textile Suede Soft,33,D,Hard Rework,mixed,true,9,24,69,77,4,15,50,38,0,0,widen-spec-channel-spectrum,Living score is 9; the finish is not changing enough across light angles.
base,Bases,textile_velvet_crush,Textile Velvet Crush,35,D,Hard Rework,mixed,true,10,24,68,92,2,18,76,40,100,0,widen-spec-channel-spectrum,Living score is 10; the finish is not changing enough across light angles.
base,Bases,textured_wrap,Textured Wrap,31,D,Hard Rework,mixed,true,14,25,26,91,11,92,46,25,0,0,widen-spec-channel-spectrum,Living score is 14; the finish is not changing enough across light angles.
base,Bases,tinted_clear,Tinted Clear,33,D,Hard Rework,mixed,true,10,4,76,92,5,65,21,19,0,0,widen-spec-channel-spectrum,Living score is 10; the finish is not changing enough across light angles.
base,Bases,tinted_lacquer,Tinted Lacquer,25,D,Hard Rework,mixed,true,8,34,20,93,0,36,30,7,0,0,widen-spec-channel-spectrum,Living score is 8; the finish is not changing enough across light angles.
base,Bases,titanium_raw,Titanium Raw,29,D,Hard Rework,mixed,true,27,4,15,93,11,80,46,29,0,0,widen-spec-channel-spectrum,Living score is 27; the finish is not changing enough across light angles.
base,Bases,track_worn,Track Worn,22,D,Hard Rework,mixed,true,20,4,15,94,1,32,40,9,0,0,widen-spec-channel-spectrum,Living score is 20; the finish is not changing enough across light angles.
base,Bases,tri_coat_pearl,Tri Coat Pearl,26,D,Hard Rework,mixed,true,24,5,17,94,7,102,20,16,0,0,widen-spec-channel-spectrum,Living score is 24; the finish is not changing enough across light angles.
